time,open,high,low,close
2020-10-26T03:45:00Z,11942.85,11942.85,11901.65,11918.85
2020-10-26T03:46:00Z,11916.8,11922.95,11905.55,11907.1
2020-10-26T03:47:00Z,11906.5,11909.9,11904.1,11908.5
2020-10-26T03:48:00Z,11907.4,11908.5,11896.05,11896.55
2020-10-26T03:49:00Z,11897.4,11897.4,11889.3,11890.8
2020-10-26T03:50:00Z,11890.9,11890.9,11877,11883.75
2020-10-26T03:51:00Z,11884.05,11897.75,11882.85,11896.15
2020-10-26T03:52:00Z,11895.55,11904.8,11894.35,11899.8
2020-10-26T03:53:00Z,11900,11905.55,11896.7,11905
2020-10-26T03:54:00Z,11904.05,11908.5,11903.3,11903.55
2020-10-26T03:55:00Z,11901.6,11908.15,11901.6,11905.55
2020-10-26T03:56:00Z,11906.3,11912.4,11906.3,11907.6
2020-10-26T03:57:00Z,11907.35,11907.95,11898.5,11900.55
2020-10-26T03:58:00Z,11901.35,11902.55,11895.6,11897.95
2020-10-26T03:59:00Z,11896.1,11901.15,11896.1,11899.75
2020-10-26T04:00:00Z,11899.65,11899.9,11889.45,11890.55
2020-10-26T04:01:00Z,11891.2,11897.4,11891,11897.4
2020-10-26T04:02:00Z,11895.3,11903,11893.95,11900.25
2020-10-26T04:03:00Z,11900.8,11908.45,11900.8,11908.45
2020-10-26T04:04:00Z,11908.25,11916.85,11906.75,11910.9
2020-10-26T04:05:00Z,11911.3,11922.75,11911.3,11918.55
2020-10-26T04:06:00Z,11919,11919,11913.3,11915.1
2020-10-26T04:07:00Z,11916.2,11919.45,11914.55,11915.5
2020-10-26T04:08:00Z,11915.6,11916.6,11910.85,11915
2020-10-26T04:09:00Z,11914.75,11915.55,11902.8,11904.6
2020-10-26T04:10:00Z,11904.15,11905.65,11900.45,11901.55
2020-10-26T04:11:00Z,11901.35,11901.35,11894.6,11897.65
2020-10-26T04:12:00Z,11897.8,11905.5,11897.8,11905
2020-10-26T04:13:00Z,11905.2,11905.95,11900.35,11901.25
2020-10-26T04:14:00Z,11901.5,11904.4,11901.5,11903.65
2020-10-26T04:15:00Z,11903.05,11912.35,11903.05,11908.95
